INDICATOR,GEBIEDSTYPE,GEBIEDSCODE,DATE_FROM,DATE_TO,WAARDE
Trend GLG naar 2050,d_swf_welstandsgebieden,68,2020-01-01,,-12
Trend GLG naar 2050,d_swf_welstandsgebieden,90,2020-01-01,,-9
Trend GLG naar 2050,d_swf_welstandsgebieden,91,2020-01-01,,-2
Trend GLG naar 2050,d_swf_welstandsgebieden,92,2020-01-01,,-2
Trend GLG naar 2050,d_swf_welstandsgebieden,93,2020-01-01,,-8
Trend GLG naar 2050,d_swf_welstandsgebieden,57,2020-01-01,,-1
Trend GLG naar 2050,d_swf_welstandsgebieden,58,2020-01-01,,-10
Trend GLG naar 2050,d_swf_welstandsgebieden,59,2020-01-01,,-4
Trend GLG naar 2050,d_swf_welstandsgebieden,60,2020-01-01,,-10
Trend GLG naar 2050,d_swf_welstandsgebieden,122,2020-01-01,,-6
Trend GLG naar 2050,d_swf_welstandsgebieden,123,2020-01-01,,-12
Trend GLG naar 2050,d_swf_welstandsgebieden,124,2020-01-01,,-14
Trend GLG naar 2050,d_swf_welstandsgebieden,125,2020-01-01,,-10
Trend GLG naar 2050,d_swf_welstandsgebieden,129,2020-01-01,,-10
Trend GLG naar 2050,d_swf_welstandsgebieden,142,2020-01-01,,-5
Trend GLG naar 2050,d_swf_welstandsgebieden,143,2020-01-01,,-15
Trend GLG naar 2050,d_swf_welstandsgebieden,69,2020-01-01,,-6
Trend GLG naar 2050,d_swf_welstandsgebieden,70,2020-01-01,,-15
Trend GLG naar 2050,d_swf_welstandsgebieden,71,2020-01-01,,-19
Trend GLG naar 2050,d_swf_welstandsgebieden,72,2020-01-01,,-13
Trend GLG naar 2050,d_swf_welstandsgebieden,73,2020-01-01,,-20
Trend GLG naar 2050,d_swf_welstandsgebieden,94,2020-01-01,,-10
Trend GLG naar 2050,d_swf_welstandsgebieden,95,2020-01-01,,-12
Trend GLG naar 2050,d_swf_welstandsgebieden,96,2020-01-01,,-13
Trend GLG naar 2050,d_swf_welstandsgebieden,97,2020-01-01,,-16
Trend GLG naar 2050,d_swf_welstandsgebieden,98,2020-01-01,,-5
Trend GLG naar 2050,d_swf_welstandsgebieden,99,2020-01-01,,-16
Trend GLG naar 2050,d_swf_welstandsgebieden,100,2020-01-01,,-5
Trend GLG naar 2050,d_swf_welstandsgebieden,101,2020-01-01,,-8
Trend GLG naar 2050,d_swf_welstandsgebieden,102,2020-01-01,,-16
Trend GLG naar 2050,d_swf_welstandsgebieden,103,2020-01-01,,-9
Trend GLG naar 2050,d_swf_welstandsgebieden,104,2020-01-01,,-16
Trend GLG naar 2050,d_swf_welstandsgebieden,105,2020-01-01,,-1
Trend GLG naar 2050,d_swf_welstandsgebieden,106,2020-01-01,,-8
Trend GLG naar 2050,d_swf_welstandsgebieden,144,2020-01-01,,-14
Trend GLG naar 2050,d_swf_welstandsgebieden,132,2020-01-01,,-13
Trend GLG naar 2050,d_swf_welstandsgebieden,133,2020-01-01,,-1
Trend GLG naar 2050,d_swf_welstandsgebieden,134,2020-01-01,,-4
Trend GLG naar 2050,d_swf_welstandsgebieden,135,2020-01-01,,-17
Trend GLG naar 2050,d_swf_welstandsgebieden,136,2020-01-01,,-7
Trend GLG naar 2050,d_swf_welstandsgebieden,173,2020-01-01,,-9
Trend GLG naar 2050,d_swf_welstandsgebieden,174,2020-01-01,,-7
Trend GLG naar 2050,d_swf_welstandsgebieden,107,2020-01-01,,-14
Trend GLG naar 2050,d_swf_welstandsgebieden,108,2020-01-01,,-5
