Mean_NDVI,Mean_CHM,Mean_NIR,Mean_Red,Cluster_ID,Pixel_Count
92.47166,0.3447456,145.36063,168.2404,0,14860133
91.636375,0.37254664,75.14753,87.99558,1,18361155
123.601715,7.802266,155.73537,95.50426,2,4190780
124.21046,0.498015,168.99664,102.972786,3,18778941
